Winner,Loser
Kansas,Austin Peay
UConn,Colorado
Maryland,South Dakota St.
Hawaii,California
Miami (FL),Buffalo
Wichita St.,Arizona
Iowa,Temple
Villanova,UNC Asheville
Oregon,Holy Cross
Saint Joseph's,Cincinnati
Yale,Baylor
Duke,UNCW
Texas A&M,Green Bay
UNI,Texas
VCU,Oregon St.
Oklahoma,CSU Bakersfield
North Carolina,FGCU
Providence,Southern California
Indiana,Chattanooga
Kentucky,Stony Brook
SFA,West Virginia
Notre Dame,Michigan
Wisconsin,Pittsburgh
Xavier,Weber St.
Virginia,Hampton
Butler,Texas Tech
Little Rock,Purdue
Iowa St.,Iona
Utah,Fresno St.
Gonzaga,Seton Hall
Syracuse,Dayton
Middle Tenn.,Michigan St.
Kansas,UConn
Maryland,Hawaii
Miami (FL),Wichita St.
Villanova,Iowa
Oregon,Saint Joseph's
Duke,Yale
Texas A&M,UNI
Oklahoma,VCU
North Carolina,Providence
Indiana,Kentucky
Notre Dame,SFA
Wisconsin,Xavier
Virginia,Butler
Iowa St.,Little Rock
Gonzaga,Utah
Syracuse,Middle Tenn.
Kansas,Maryland
Villanova,Miami (FL)
Oregon,Duke
Oklahoma,Texas A&M
North Carolina,Indiana
Notre Dame,Wisconsin
Virginia,Iowa St.
Syracuse,Gonzaga
Villanova,Kansas
Oklahoma,Oregon
North Carolina,Notre Dame
Syracuse,Virginia
Villanova,Oklahoma
North Carolina,Syracuse
Villanova,North Carolina
