Winner,Loser
Kentucky,Hampton
Cincinnati,Purdue
West Virginia,Buffalo
Maryland,Valparaiso
Butler,Texas
Notre Dame,Northeastern
Wichita St.,Indiana
Kansas,New Mexico St.
Wisconsin,Coastal Caro.
Oregon,Oklahoma St.
Arkansas,Wofford
North Carolina,Harvard
Xavier,Ole Miss
Georgia St.,Baylor
Ohio St.,VCU
Arizona,Texas Southern
Villanova,Lafayette
North Carolina St.,LSU
UNI,Wyoming
Louisville,UC Irvine
Dayton,Providence
Oklahoma,Albany (NY)
Michigan St.,Georgia
Virginia,Belmont
Duke,Robert Morris
San Diego St.,St. John's (NY)
Utah,Stephen F. Austin
Georgetown,Eastern Wash.
UCLA,SMU
UAB,Iowa St.
Iowa,Davidson
Gonzaga,North Dakota St.
Kentucky,Cincinnati
West Virginia,Maryland
Notre Dame,Butler
Wichita St.,Kansas
Wisconsin,Oregon
North Carolina,Arkansas
Xavier,Georgia St.
Arizona,Ohio St.
North Carolina St.,Villanova
Louisville,UNI
Oklahoma,Dayton
Michigan St.,Virginia
Duke,San Diego St.
Utah,Georgetown
UCLA,UAB
Gonzaga,Iowa
Kentucky,West Virginia
Notre Dame,Wichita St.
Wisconsin,North Carolina
Arizona,Xavier
Louisville,North Carolina St.
Michigan St.,Oklahoma
Duke,Utah
Gonzaga,UCLA
Kentucky,Notre Dame
Wisconsin,Arizona
Michigan St.,Louisville
Duke,Gonzaga
Wisconsin,Kentucky
Duke,Michigan St.
Duke,Wisconsin
